,RMSE,QLIKE,MAE,n_inputs,mlp_units,epochs,learning_rate,num_lr_decays,scaler_type,dropout,n_pool_kernel_size,pooling_mode,interpolation_mode,n_blocks,random_seed,trial,id_H
27,0.6648667334035258,0.0023146053149531,0.5032792801486502,15,"[712, 712]",150,5e-05,2,standard,0.2,1,AvgPool1d,nearest,5,64559412,27,3
28,0.7299273574670261,0.0027565583128345,0.5633354122392307,10,"[512, 512]",750,0.0005,5,minmax,0.2,2,AvgPool1d,nearest,2,111898372,28,3
29,0.9929101958784294,0.0046889743924997,0.7967781396600995,3,"[512, 512]",650,1e-05,1,robust,0.3,0,MaxPool1d,linear,2,35290628,29,3
0,0.9774567426296922,0.0044649894578123,0.8015931850580504,42,"[512, 512]",650,5e-05,2,robust,0.2,0,AvgPool1d,nearest,3,76781541,0,4
1,0.6249485564022302,0.001980313283616,0.5128967790963814,3,"[512, 512]",350,1e-05,1,standard,0.0,1,MaxPool1d,linear,3,62632493,1,4
2,0.6984011054994199,0.0024351027984101,0.5634762228704532,3,"[250, 250]",650,5e-05,2,standard,0.0,1,AvgPool1d,nearest,1,103182913,2,4
3,0.7796872545640756,0.00326439523289,0.6371741133990748,15,"[250, 250]",750,0.0001,3,standard,0.0,1,MaxPool1d,linear,5,28209997,3,4
4,0.9234007937530584,0.0040373694626364,0.7547348259135329,42,"[250, 250]",450,0.0005,5,standard,0.3,1,AvgPool1d,nearest,5,116805556,4,4
5,0.6613042960595,0.0022139501271432,0.5265236516224295,3,"[100, 100]",50,0.0001,3,standard,0.4,1,MaxPool1d,linear,5,22889027,5,4
6,1.0521953351682656,0.0051105138682373,0.8344748561451707,3,"[712, 712]",350,1e-05,1,robust,0.3,0,MaxPool1d,linear,1,77579777,6,4
7,0.6603774154517954,0.002215838461196,0.538755058890364,10,"[512, 512]",550,1e-05,1,robust,0.0,0,MaxPool1d,linear,5,13707562,7,4
8,0.696627504464224,0.0024307208855008,0.5460592149858907,84,"[512, 512]",100,0.0005,5,minmax,0.4,2,MaxPool1d,linear,1,105934016,8,4
9,0.6803896176417239,0.0023761725637604,0.5406513882806494,5,"[712, 712]",50,1e-05,1,robust,0.4,0,AvgPool1d,nearest,5,93984915,9,4
10,0.6828198511519807,0.0023547480207471,0.5385039337948552,21,"[512, 512]",50,1e-05,1,standard,0.2,1,AvgPool1d,nearest,1,102095390,10,4
11,0.7296077117573381,0.0026705154587605,0.5753003784284145,84,"[712, 712]",150,5e-05,2,standard,0.3,1,AvgPool1d,nearest,5,20202507,11,4
12,0.7176154237771767,0.0025373029659589,0.5449310377780134,15,"[250, 250]",100,0.0001,3,minmax,0.0,2,AvgPool1d,nearest,3,96614707,12,4
13,0.6993438229844866,0.0024593487583416,0.5667596241366172,42,"[100, 100]",250,5e-05,2,minmax,0.2,2,MaxPool1d,linear,3,64804152,13,4
14,0.7299689659182937,0.0026180166308341,0.5754662686518563,3,"[512, 512]",250,0.0001,3,standard,0.0,1,AvgPool1d,nearest,3,71895967,14,4
15,0.687730383726624,0.0023613760969597,0.5320791917891992,15,"[250, 250]",150,1e-05,1,minmax,0.4,2,AvgPool1d,nearest,5,120065444,15,4
16,0.6727686104637437,0.0023069468766702,0.53861991894424,5,"[250, 250]",250,1e-05,1,robust,0.4,0,AvgPool1d,nearest,1,124535353,16,4
17,0.6871615014827075,0.0024031481592825,0.5439332957909214,42,"[100, 100]",50,1e-05,1,robust,0.2,0,AvgPool1d,nearest,1,83166720,17,4
18,0.6300189248422223,0.0020411029333447,0.5170390858077772,15,"[712, 712]",100,0.0005,5,standard,0.3,1,MaxPool1d,linear,5,31012534,18,4
19,0.6985107641359624,0.0024268889099783,0.537633483091511,15,"[100, 100]",250,0.0001,3,minmax,0.2,2,AvgPool1d,nearest,3,124901184,19,4
20,0.901290569648213,0.0038578755719164,0.7290728098155819,42,"[512, 512]",750,0.0005,5,standard,0.4,1,AvgPool1d,nearest,5,67728329,20,4
21,0.6774789875713313,0.0023244431882647,0.5390070613072026,5,"[100, 100]",100,1e-05,1,standard,0.2,1,AvgPool1d,nearest,3,25212931,21,4
22,0.6550015446826997,0.002203166855884,0.527405394870123,21,"[712, 712]",50,0.0005,5,robust,0.2,0,AvgPool1d,nearest,1,85625950,22,4
23,0.6895090446794208,0.0023883210540569,0.5537024833421255,84,"[250, 250]",750,1e-05,1,standard,0.0,1,MaxPool1d,linear,2,125810904,23,4
24,0.601240466552723,0.0018622031568788,0.4796148656634705,10,"[712, 712]",650,1e-05,1,standard,0.0,1,MaxPool1d,linear,1,114631859,24,4
25,0.5602848865810133,0.0016260694174875,0.4446417143336635,10,"[250, 250]",550,5e-05,2,standard,0.2,1,MaxPool1d,linear,5,26037775,25,4
26,0.6482805735872058,0.0021526974072699,0.5146618702486545,21,"[250, 250]",100,1e-05,1,standard,0.0,1,MaxPool1d,linear,3,41165234,26,4
27,0.6780891949095198,0.0023524376272619,0.5504069146394885,15,"[712, 712]",50,0.0001,3,robust,0.2,0,MaxPool1d,linear,3,66194025,27,4
28,0.763466068018574,0.002919145324494,0.6552098301395737,42,"[512, 512]",350,0.0001,3,minmax,0.2,2,MaxPool1d,linear,1,122236069,28,4
29,0.7371944221948192,0.0026907965508948,0.5736558313798921,10,"[712, 712]",550,0.0001,3,minmax,0.3,2,AvgPool1d,nearest,5,22922777,29,4
